iter	Passed	Remaining
405	14910	95262
406	14921	95065
407	14933	94871
408	14939	94640
409	14965	94541
410	14977	94349
411	15019	94346
412	15090	94524
413	15098	94308
414	15102	94073
415	15115	93887
416	15123	93678
417	15128	93448
418	15144	93286
419	15153	93084
420	15185	93025
421	15210	92923
422	15248	92894
423	15267	92759
424	15298	92691
425	15321	92576
426	15645	94277
427	15658	94097
428	15677	93957
429	15705	93866
430	15722	93712
431	15748	93618
432	15764	93457
433	15768	93233
434	15776	93028
435	15795	92891
436	15836	92882
437	15846	92693
438	15850	92467
439	15859	92273
440	15867	92073
441	15939	92247
442	15965	92154
443	15971	91942
444	15979	91745
445	15991	91575
446	16155	92272
447	16179	92162
448	16183	91948
449	16191	91750
450	17488	98843
451	17501	98659
452	17550	98677
453	17555	98448
454	17594	98410
455	17616	98282
456	17634	98126
457	17642	97922
458	17665	97795
459	17681	97631
460	17707	97525
461	17713	97306
462	17999	98628
463	18020	98491
464	18041	98353
465	18060	98206
466	18077	98053
467	18089	97867
468	18100	97683
469	18112	97500
470	18189	97667
471	18206	97513
472	19373	103502
473	19379	103276
474	19381	103026
475	19405	102900
476	19411	102670
477	19438	102561
478	19461	102425
479	19480	102274
480	19489	102067
481	19545	102106
482	19551	101884
483	20681	107511
484	20690	107293
485	20694	107051
486	20726	106954
487	20731	106716
488	20752	106561
489	20786	106476
490	20832	106452
491	20843	106252
492	20851	106035
493	20863	105840
494	20957	106055
495	20975	105890
496	20980	105660
497	21003	105523
498	21014	105323
499	21031	105155
500	21048	104991
501	21068	104840
502	21094	104717
503	21098	104485
504	21111	104303
505	21119	104092
506	21139	103945
507	21158	103791
508	21159	103550
509	22328	109013
510	22358	108904
511	22381	108758
512	22397	108581
513	22993	111208
514	23030	111126
515	23037	110903
516	23052	110713
517	23076	110572
518	23085	110357
519	23108	110207
520	23119	110005
521	23131	109808
522	23161	109693
523	23165	109462
524	23493	110756
525	23528	110664
526	23553	110526
527	23568	110341
528	23576	110125
529	24726	115233
530	24763	115142
531	24790	115007
532	24809	114831
533	24817	114606
534	24822	114368
535	24853	114253
536	25019	114752
537	25044	114606
538	25063	114434
539	25067	114196
540	25085	114022
541	25100	113833
542	25104	113595
543	25134	113476
544	25146	113272
545	25165	113107
546	25172	112885
547	25187	112701
548	25204	112523
549	25235	112413
550	25361	112722
551	25374	112531
552	25416	112466
553	25428	112269
554	25701	113224
555	25709	113008
556	25733	112867
557	25759	112732
558	25772	112542
559	25788	112364
560	25801	112172
561	25813	111979
562	25965	112392
563	25992	112263
564	26006	112080
565	26031	111944
566	26040	111741
567	26055	111563
568	26065	111361
569	26086	111211
570	26105	111051
571	26126	110898
572	26388	111772
573	26400	111579
574	26408	111373
575	26412	111153
576	26420	110946
577	26448	110829
578	26463	110654
579	26471	110450
580	26476	110236
581	26481	110019
582	26562	110122
583	26571	109924
584	26588	109761
585	26710	110032
586	26730	109882
587	26742	109698
588	26746	109485
589	26755	109289
590	26767	109108
591	26789	108968
592	26800	108781
593	26817	108624
594	26830	108450
595	26840	108263
596	26844	108051
597	26855	107871
598	26866	107690
599	26878	107514
600	26890	107338
601	26902	107164
602	26903	106945
603	28148	111660
604	28159	111472
605	28189	111363
606	28198	111167
607	28210	110984
608	28218	110787
609	28226	110592
610	28241	110425
611	28253	110242
612	28265	110064
613	28277	109884
614	29408	114046
615	29414	113838
616	29433	113677
617	29445	113492
618	29472	113366
619	29483	113179
620	29532	113134
621	29546	112962
622	29575	112843
623	29659	112935
624	29688	112816
625	29711	112675
626	29727	112508
627	29745	112349
628	29760	112182
629	30884	116183
630	30896	115995
631	30914	115831
632	30939	115693
633	30950	115504
634	30978	115377
635	32113	119365
636	32133	119200
637	32142	118996
638	32168	118858
639	32183	118677
640	32188	118459
641	32195	118250
642	32216	118092
643	32238	117939
644	32249	117749
645	32257	117545
646	32268	117353
647	32276	117151
648	32447	117539
649	33211	120072
650	33222	119875
651	33303	119934
652	33650	120946
653	33670	120779
654	33682	120587
655	34827	124444
656	34829	124208
657	34839	124004
658	34856	123821
659	34867	123622
660	34882	123434
661	34983	123551
662	35327	124526
663	35339	124327
664	35344	124102
665	35358	123915
666	35441	123966
667	35468	123820
668	35476	123609
669	36642	127428
670	36659	127243
671	36671	127040
672	36679	126826
673	36837	127127
674	36853	126938
675	36870	126755
676	36886	126570
677	36901	126380
678	36935	126253
679	36940	126031
680	37270	126918
681	37278	126704
682	37292	126509
683	37314	126346
684	37326	126147
685	37335	125938
686	37342	125725
